AED,3.67
AFN,80.97
ALL,103.15
AMD,492.56
ANG,1.8
AOA,637.91
ARS,97.25
AUD,1.38
AWG,1.8
AZN,1.7
BAM,1.66
BBD,2.0
BDT,84.95
BGN,1.67
BHD,0.38
BIF,1983.16
BMD,1.0
BND,1.36
BOB,6.91
BRL,5.29
BSD,1.0
BTC,2.2e-05
BTN,74.27
BWP,11.15
BYN,2.5
BZD,2.02
CAD,1.26
CDF,1985.89
CHF,0.91
CLF,0.03
CLP,791.36
CNH,6.49
CNY,6.49
COP,3880.17
CRC,620.17
CUC,1.0
CUP,25.75
CVE,93.74
CZK,21.72
DJF,178.04
DKK,6.35
DOP,57.02
DZD,135.38
EGP,15.71
ERN,15.0
ETB,45.15
EUR,0.85
FJD,2.08
FKP,0.73
GBP,0.73
GEL,3.1
GGP,0.73
GHS,6.03
GIP,0.73
GMD,51.15
GNF,9764.79
GTQ,7.75
GYD,209.05
HKD,7.79
HNL,23.74
HRK,6.39
HTG,96.51
HUF,300.09
IDR,14424.25
ILS,3.24
IMP,0.73
INR,74.39
IQD,1459.12
IRR,42152.5
ISK,126.64
JEP,0.73
JMD,154.51
JOD,0.71
JPY,109.53
KES,109.45
KGS,84.71
KHR,4077.83
KMF,416.05
KPW,900.0
KRW,1177.4
KWD,0.3
KYD,0.83
KZT,425.58
LAK,9586.86
LBP,1512.08
LKR,199.52
LRD,171.63
LSL,14.82
LYD,4.52
MAD,8.97
MDL,17.5
MGA,3905.33
MKD,52.37
MMK,1646.14
MNT,2851.37
MOP,8.03
MRO,357.0
MRU,36.13
MUR,42.45
MVR,15.46
MWK,812.57
MXN,20.01
MYR,4.24
MZN,63.68
NAD,14.37
NGN,411.7
NIO,35.12
NOK,8.9
NPR,118.83
NZD,1.45
OMR,0.39
PAB,1.0
PEN,4.08
PGK,3.51
PHP,50.43
PKR,164.53
PLN,3.9
PYG,6918.58
QAR,3.7
RON,4.2
RSD,99.93
RUB,73.55
RWF,1008.21
SAR,3.75
SBD,8.05
SCR,13.19
SDG,446.5
SEK,8.75
SGD,1.36
SHP,0.73
SLL,10253.0
SOS,578.54
SRD,21.39
SSP,130.26
STD,20714.34
STN,20.95
SVC,8.75
SYP,1257.58
SZL,14.82
THB,33.34
TJS,11.41
TMT,3.5
TND,2.79
TOP,2.26
TRY,8.44
TTD,6.79
TWD,27.93
TZS,2319.19
UAH,26.66
UGX,3532.28
USD,1.0
UYU,43.29
UZS,10653.14
VES,4075641.37
VND,22930.36
VUV,111.01
WST,2.56
XAF,559.8
XAG,0.04
XAU,0.00056
XCD,2.7
XDR,0.7
XOF,559.8
XPD,0.0004
XPF,101.84
XPT,0.001004
YER,250.0
ZAR,14.91
ZMW,19.15
ZWL,322.0
