AED,3.67
AFN,80.84
ALL,103.26
AMD,491.67
ANG,1.79
AOA,637.91
ARS,97.11
AUD,1.36
AWG,1.8
AZN,1.7
BAM,1.66
BBD,2.0
BDT,84.67
BGN,1.66
BHD,0.38
BIF,1982.66
BMD,1.0
BND,1.36
BOB,6.89
BRL,5.25
BSD,1.0
BTC,2.1e-05
BTN,74.26
BWP,11.16
BYN,2.51
BZD,2.02
CAD,1.25
CDF,1985.71
CHF,0.92
CLF,0.03
CLP,775.99
CNH,6.48
CNY,6.48
COP,3843.07
CRC,621.44
CUC,1.0
CUP,25.75
CVE,93.56
CZK,21.52
DJF,178.0
DKK,6.3
DOP,57.19
DZD,135.24
EGP,15.7
ERN,15.0
ETB,45.08
EUR,0.85
FJD,2.09
FKP,0.72
GBP,0.72
GEL,3.09
GGP,0.72
GHS,5.99
GIP,0.72
GMD,51.15
GNF,9762.36
GTQ,7.74
GYD,208.92
HKD,7.78
HNL,23.74
HRK,6.36
HTG,97.25
HUF,298.77
IDR,14363.75
ILS,3.22
IMP,0.72
INR,74.22
IQD,1460.25
IRR,42152.5
ISK,125.47
JEP,0.72
JMD,154.47
JOD,0.71
JPY,109.58
KES,109.3
KGS,84.75
KHR,4077.34
KMF,416.05
KPW,900.0
KRW,1162.33
KWD,0.3
KYD,0.83
KZT,425.23
LAK,9588.34
LBP,1511.73
LKR,199.72
LRD,171.63
LSL,14.83
LYD,4.53
MAD,8.98
MDL,17.52
MGA,3906.85
MKD,52.43
MMK,1645.72
MNT,2850.9
MOP,8.02
MRO,357.0
MRU,36.12
MUR,42.45
MVR,15.46
MWK,812.8
MXN,19.88
MYR,4.24
MZN,63.66
NAD,14.37
NGN,411.5
NIO,35.11
NOK,8.81
NPR,118.81
NZD,1.42
OMR,0.38
PAB,1.0
PEN,4.08
PGK,3.56
PHP,50.57
PKR,164.42
PLN,3.87
PYG,6920.28
QAR,3.64
RON,4.16
RSD,100.04
RUB,73.31
RWF,1007.87
SAR,3.75
SBD,8.05
SCR,13.35
SDG,446.5
SEK,8.64
SGD,1.35
SHP,0.72
SLL,10253.0
SOS,578.43
SRD,21.34
SSP,130.26
STD,20697.98
STN,20.95
SVC,8.75
SYP,1257.67
SZL,14.83
THB,33.32
TJS,11.4
TMT,3.5
TND,2.78
TOP,2.26
TRY,8.52
TTD,6.8
TWD,27.82
TZS,2318.61
UAH,26.69
UGX,3539.42
USD,1.0
UYU,43.61
UZS,10681.37
VES,4077075.21
VND,22740.07
VUV,110.89
WST,2.56
XAF,556.06
XAG,0.04
XAU,0.000562
XCD,2.7
XDR,0.7
XOF,556.06
XPD,0.000377
XPF,101.16
XPT,0.00097
YER,250.0
ZAR,14.73
ZMW,19.3
ZWL,322.0
