AED,3.67
AFN,86.25
ALL,104.34
AMD,491.75
ANG,1.8
AOA,636.51
ARS,97.23
AUD,1.4
AWG,1.8
AZN,1.7
BAM,1.68
BBD,2.0
BDT,85.14
BGN,1.68
BHD,0.38
BIF,1984.85
BMD,1.0
BND,1.36
BOB,6.92
BRL,5.38
BSD,1.0
BTC,2.1e-05
BTN,74.39
BWP,11.3
BYN,2.52
BZD,2.02
CAD,1.28
CDF,1988.8
CHF,0.92
CLF,0.03
CLP,786.63
CNH,6.5
CNY,6.5
COP,3864.98
CRC,620.8
CUC,1.0
CUP,25.75
CVE,94.62
CZK,21.85
DJF,178.1
DKK,6.36
DOP,57.07
DZD,135.43
EGP,15.7
ERN,15.0
ETB,45.15
EUR,0.85
FJD,2.11
FKP,0.73
GBP,0.73
GEL,3.11
GGP,0.73
GHS,6.01
GIP,0.73
GMD,51.1
GNF,9775.0
GTQ,7.75
GYD,209.31
HKD,7.79
HNL,23.76
HRK,6.41
HTG,98.54
HUF,299.39
IDR,14403.7
ILS,3.24
IMP,0.73
INR,74.3
IQD,1459.61
IRR,42153.84
ISK,127.91
JEP,0.73
JMD,153.96
JOD,0.71
JPY,109.81
KES,109.6
KGS,84.64
KHR,4084.18
KMF,420.85
KPW,900.0
KRW,1175.08
KWD,0.3
KYD,0.83
KZT,426.85
LAK,9592.96
LBP,1512.79
LKR,199.58
LRD,171.7
LSL,15.17
LYD,4.54
MAD,9.01
MDL,17.63
MGA,3919.12
MKD,52.77
MMK,1646.68
MNT,2856.39
MOP,8.03
MRO,357.0
MRU,36.06
MUR,42.4
MVR,15.45
MWK,812.85
MXN,20.37
MYR,4.24
MZN,63.73
NAD,15.31
NGN,411.7
NIO,35.13
NOK,9.03
NPR,119.03
NZD,1.46
OMR,0.39
PAB,1.0
PEN,4.11
PGK,3.54
PHP,50.34
PKR,164.59
PLN,3.92
PYG,6941.2
QAR,3.64
RON,4.22
RSD,100.7
RUB,74.28
RWF,1008.8
SAR,3.75
SBD,8.05
SCR,12.98
SDG,445.5
SEK,8.8
SGD,1.36
SHP,0.73
SLL,10279.85
SOS,578.72
SRD,21.4
SSP,130.26
STD,20817.44
STN,21.3
SVC,8.75
SYP,1257.83
SZL,15.31
THB,33.34
TJS,11.41
TMT,3.5
TND,2.81
TOP,2.27
TRY,8.49
TTD,6.79
TWD,27.98
TZS,2319.0
UAH,26.66
UGX,3536.48
USD,1.0
UYU,43.22
UZS,10643.75
VES,4122843.85
VND,22794.58
VUV,112.19
WST,2.58
XAF,560.79
XAG,0.04
XAU,0.000561
XCD,2.7
XDR,0.71
XOF,560.79
XPD,0.000439
XPF,102.02
XPT,0.001001
YER,250.8
ZAR,15.3
ZMW,17.72
ZWL,322.0
